escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
principal_5pct,2017-01,2017-01-31,Habitat,RESIDUAL_NO_MAPEADO,0.4179400272125714,0.25889364915145163,18,41.79400272125714,25.889364915145162
principal_5pct,2017-01,2017-01-31,Habitat,SPY,0.2071716335139417,0.128332815018485,6,20.71716335139417,12.8332815018485
principal_5pct,2017-01,2017-01-31,Habitat,VGK,0.1566800557409189,0.0970557226847958,4,15.66800557409189,9.70557226847958
principal_5pct,2017-01,2017-01-31,Habitat,XLF,0.0105024348030812,0.0065057508113765,1,1.05024348030812,0.6505750811376501
principal_5pct,2017-01,2017-01-31,Integra,ACWI,0.033215654853062944,0.018842895872994057,3,3.3215654853062944,1.8842895872994057
principal_5pct,2017-01,2017-01-31,Integra,EEM,0.019537485421737645,0.011083412476752545,2,1.9537485421737646,1.1083412476752545
principal_5pct,2017-01,2017-01-31,Integra,EWJ,0.13079145139594012,0.0741966313966624,5,13.079145139594011,7.419663139666239
principal_5pct,2017-01,2017-01-31,Integra,LQD,2.578790379695803e-07,1.4629209876440608e-07,1,2.578790379695803e-05,1.4629209876440608e-05
principal_5pct,2017-01,2017-01-31,Integra,MCHI,0.02204812278522701,0.012507670966442197,2,2.204812278522701,1.2507670966442197
principal_5pct,2017-01,2017-01-31,Integra,PRIVATE_ALTERNATIVES,0.0787923467213968,0.0446980796081824,15,7.87923467213968,4.46980796081824
principal_5pct,2017-01,2017-01-31,Integra,RESIDUAL_NO_MAPEADO,0.2726228903474481,0.15465613302330983,32,27.262289034744807,15.465613302330983
principal_5pct,2017-01,2017-01-31,Integra,SPY,0.1322950920570419,0.0750496311202229,12,13.22950920570419,7.504963112022291
principal_5pct,2017-01,2017-01-31,Integra,VGK,0.12164630248341621,0.0690086834406757,5,12.16463024834162,6.900868344067571
principal_5pct,2017-01,2017-01-31,Integra,XLB,0.0002786303693661,0.0001580641134503,1,0.027863036936610002,0.01580641134503
