escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2019-05,2019-05-31,Prima,renta_variable,0.8714183817615982,0.48709137750687664,37,87.14183817615982,48.70913775068767
ampliado_15pct,2019-05,2019-05-31,Profuturo,mercados_privados_y_alternativos,0.1723175175668387,0.10512425218410029,21,17.23175175668387,10.51242521841003
ampliado_15pct,2019-05,2019-05-31,Profuturo,no_determinado,0.03370170505913826,0.020560106666443825,6,3.3701705059138263,2.0560106666443825
ampliado_15pct,2019-05,2019-05-31,Profuturo,renta_variable,0.7939807773740206,0.4843769609065993,38,79.39807773740206,48.437696090659934
ampliado_15pct,2019-06,2019-06-28,Habitat,mercados_privados_y_alternativos,0.010380394986032458,0.005814484441272807,4,1.0380394986032457,0.5814484441272807
ampliado_15pct,2019-06,2019-06-28,Habitat,no_determinado,0.024288806160728,0.0136051552670854,3,2.4288806160728,1.36051552670854
ampliado_15pct,2019-06,2019-06-28,Habitat,renta_fija,0.038201993379112884,0.021398501350608258,4,3.8201993379112884,2.1398501350608257
ampliado_15pct,2019-06,2019-06-28,Habitat,renta_variable,0.9271288054741232,0.5193228216979126,65,92.71288054741233,51.93228216979126
ampliado_15pct,2019-06,2019-06-28,Integra,mercados_privados_y_alternativos,0.1336885368308069,0.0772547597037532,20,13.368853683080689,7.72547597037532
ampliado_15pct,2019-06,2019-06-28,Integra,no_determinado,0.0353250628650612,0.0204133376567213,6,3.53250628650612,2.04133376567213
ampliado_15pct,2019-06,2019-06-28,Integra,renta_fija,0.035698748026417725,0.020629279561912562,2,3.5698748026417726,2.062927956191256
ampliado_15pct,2019-06,2019-06-28,Integra,renta_variable,0.7952876522777106,0.45957385673113843,76,79.52876522777106,45.95738567311384
ampliado_15pct,2019-06,2019-06-28,Prima,mercados_privados_y_alternativos,0.1188788474778673,0.0667788780034784,8,11.88788474778673,6.67788780034784
ampliado_15pct,2019-06,2019-06-28,Prima,no_determinado,0.005556754360199,0.0031214453150222,1,0.5556754360199,0.31214453150222005
ampliado_15pct,2019-06,2019-06-28,Prima,renta_variable,0.8755643981619319,0.4918386186401278,36,87.55643981619319,49.183861864012776
ampliado_15pct,2019-06,2019-06-28,Profuturo,mercados_privados_y_alternativos,0.1647756606103562,0.1005324291983203,21,16.47756606103562,10.05324291983203
ampliado_15pct,2019-06,2019-06-28,Profuturo,no_determinado,0.054773099458571714,0.03341799828260144,8,5.477309945857171,3.341799828260144
ampliado_15pct,2019-06,2019-06-28,Profuturo,renta_variable,0.7804512399310687,0.476166557187392,38,78.04512399310687,47.616655718739196
