periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2023-08,Profuturo,2023-08-31,1373824.8378934162,78,78,57,21,3744146.756938,1588605.829913,42.429048139441875,0.864799065963804,13.520093403619605,1.1563379741691984,ampliado,False,True,86.4799065963804,42.42904813945321
2023-09,Habitat,2023-09-29,1541046.0349322988,112,112,109,3,3314160.7729430003,1599860.2696516,48.273465871450775,0.9632378928116585,3.6762107188341497,1.0381651380854986,operativo,True,True,96.32378928116584,48.27346587144931
2023-09,Integra,2023-09-29,1413661.3110047616,66,66,50,16,4068698.8736045,1605769.0905015,39.46640290632006,0.8803640071084311,11.963599289156889,1.1358937802154305,ampliado,False,True,88.03640071084311,39.466402906316176
2023-09,Prima,2023-09-29,1301376.7379304382,37,37,30,7,3629146.8876767997,1517523.3098223999,41.81487707139468,0.8575662261706821,14.243377382931788,1.1660906988668758,ampliado,False,True,85.75662261706822,41.81487707139468
2023-09,Profuturo,2023-09-29,1402817.4728970448,58,58,38,20,3705069.667184,1604908.2023083,43.316545880987285,0.8740795709557762,12.592042904422385,1.1440606018357506,ampliado,False,True,87.40795709557761,43.31654588098728
2023-10,Habitat,2023-10-31,1675717.5097395715,116,116,113,3,3268179.439651,1764215.7281900002,53.981605379016024,0.9498370765908409,5.016292340915907,1.0528121344654222,ampliado,False,True,94.98370765908409,53.98160537899951
2023-10,Integra,2023-10-31,1319752.403161206,60,60,44,16,3965780.826145,1487328.239203,37.50404534202173,0.8873309659395755,11.26690340604245,1.1269752081075202,ampliado,False,True,88.73309659395755,37.5040453420312
2023-10,Prima,2023-10-31,1121992.3635325115,37,37,30,7,3537616.195421,1304852.703803,36.88508395828717,0.8598613163481663,14.013868365183368,1.1629782396154338,ampliado,False,True,85.98613163481663,36.88508395828717
2023-10,Profuturo,2023-10-31,1263571.9816820335,59,59,39,20,3594556.286705,1557393.8825,43.326456961039085,0.8113374502625437,18.866254973745633,1.2325327761912215,excluir,False,False,81.13374502625436,43.32645696105114
2023-11,Habitat,2023-11-30,1470708.0655671144,116,116,113,3,3353997.3235316,1534265.5082182,45.74438677853939,0.9585746780393328,4.142532196066718,1.0432155396024005,operativo,True,True,95.85746780393329,45.74438677854075
2023-11,Integra,2023-11-30,1412064.2714273275,59,59,43,16,3968172.262821,1598724.1223637,40.288677418130945,0.8832444895743504,11.675551042564958,1.1321893448572953,ampliado,False,True,88.32444895743504,40.288677418130945
2023-11,Prima,2023-11-30,1220507.7417165667,32,32,25,7,3503057.5780375,1368982.1949179,39.079637271757285,0.8915439121469089,10.845608785309114,1.1216497430753807,ampliado,False,True,89.15439121469089,39.07963727175841
