factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_QQQ,0.0007182590908617423,0.04588105755527671,0.0007182590908617423,0.0374469865912783,0.0017181073470661147,0.17181073470661148,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,8,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
ret_GLD,0.0015308312202114936,0.08040733196415824,0.0015308312202114936,0.0195369753920255,0.001570916065922185,0.1570916065922185,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,9,ret_GLD,GLD,Oro,materia_prima,USD
ret_LQD,-0.0010552767568094222,-0.08341593216079314,0.0010552767568094222,0.0142321469206543,-0.00118718780203574,-0.118718780203574,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,10,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
ret_XLB,0.0006940849568730977,0.04374797407256435,0.0006940849568730977,0.0235136115820582,0.001028672869844231,0.1028672869844231,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,11,ret_XLB,XLB,Materiales,sector,USD
ret_XLF,-0.0008243262590065832,-0.05686753616559581,0.0008243262590065832,0.0180016449695503,-0.0010237091963461176,-0.10237091963461176,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,12,ret_XLF,XLF,Finanzas,sector,USD
ret_IDX_VIX,-0.0008688374625513086,-0.013738198223507093,0.0008688374625513086,-0.0679886051856325,0.0009340409349799816,0.09340409349799816,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,13,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
ret_VGK,0.0003876223786690187,0.026330860295167853,0.0003876223786690187,0.0255343434690975,0.000672341230613638,0.0672341230613638,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,14,ret_VGK,VGK,Europa,region,USD
ret_ILF,0.0005979600611034138,0.03249822615737189,0.0005979600611034138,0.0173774382143596,0.0005647359171260151,0.05647359171260151,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,15,ret_ILF,ILF,América Latina,mercado,USD
ret_XLE,-0.0008475915947324415,-0.04860923783669689,0.0008475915947324415,0.0111422645451151,-0.0005416169873128951,-0.054161698731289516,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,16,ret_XLE,XLE,Energía,sector,USD
ret_ACWI,0.00027864350478027104,0.01960885827479869,0.00027864350478027104,0.0276189933759878,0.0005415769268023486,0.05415769268023486,Prima,2026-06-30,1.47770174438699,1.3059764639181004,0.1717252804688898,0.08123751004773165,17,ret_ACWI,ACWI,Acciones globales,mercado,USD
